date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:22	25591/25591	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:20%20GMT	https://www.tql.com/logistics-services/industries/technology	D:/work/tql/www.tql.com/logistics-services/industries/technology.html	(from https://www.tql.com/)
15:47:24	25568/25568	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:22%20GMT	https://www.tql.com/logistics-services/industries/transport	D:/work/tql/www.tql.com/logistics-services/industries/transport.html	(from https://www.tql.com/)
15:47:25	40869/40869	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:22%20GMT	https://www.tql.com/tql-trax	D:/work/tql/www.tql.com/tql-trax.html	(from https://www.tql.com/)
15:47:26	49928/49928	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:24%20GMT	https://www.tql.com/data-integration	D:/work/tql/www.tql.com/data-integration.html	(from https://www.tql.com/)
15:47:27	53983/53983	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:25%20GMT	https://www.tql.com/carriers	D:/work/tql/www.tql.com/carriers.html	(from https://www.tql.com/)
15:47:28	43035/43035	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:25%20GMT	https://www.tql.com/carrier-dashboard	D:/work/tql/www.tql.com/carrier-dashboard.html	(from https://www.tql.com/)
15:47:29	39368/39368	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:27%20GMT	https://www.tql.com/carrier-faqs	D:/work/tql/www.tql.com/carrier-faqs.html	(from https://www.tql.com/)
15:47:31	44181/44181	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:29%20GMT	https://www.tql.com/jobs	D:/work/tql/www.tql.com/jobs.html	(from https://www.tql.com/)
15:47:32	41152/41152	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:29%20GMT	https://www.tql.com/jobs-benefits	D:/work/tql/www.tql.com/jobs-benefits.html	(from https://www.tql.com/)
15:47:34	87198/87198	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:31%20GMT	https://www.tql.com/contact/locations	D:/work/tql/www.tql.com/contact/locations.html	(from https://www.tql.com/)
15:47:35	37598/37598	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:32%20GMT	https://www.tql.com/about-us	D:/work/tql/www.tql.com/about-us.html	(from https://www.tql.com/)
15:47:36	39215/39215	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:33%20GMT	https://www.tql.com/cares	D:/work/tql/www.tql.com/cares.html	(from https://www.tql.com/)
15:47:38	40919/40919	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:36%20GMT	https://www.tql.com/tql-in-the-news	D:/work/tql/www.tql.com/tql-in-the-news.html	(from https://www.tql.com/)
15:47:40	46136/46136	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:38%20GMT	https://www.tql.com/press-releases	D:/work/tql/www.tql.com/press-releases.html	(from https://www.tql.com/)
15:47:41	52928/52928	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:38%20GMT	https://www.tql.com/lifeattql-blog	D:/work/tql/www.tql.com/lifeattql-blog.html	(from https://www.tql.com/)
15:47:43	52343/52343	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:40%20GMT	https://www.tql.com/drive-blog	D:/work/tql/www.tql.com/drive-blog.html	(from https://www.tql.com/)
15:47:44	39427/39427	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:41%20GMT	https://www.tql.com/contact	D:/work/tql/www.tql.com/contact.html	(from https://www.tql.com/)
15:47:45	28357/28357	---M--	200	added ('OK')	image/jpeg	etag:%225/14/2019%203:51:04%20PM%22	https://www.tql.com/getmedia/4301aa61-7b1b-4b0c-b0d3-059fab1c85f6/Home_mobileHero.jpg?width=334&height=200&ext=.jpg	D:/work/tql/www.tql.com/getmedia/4301aa61-7b1b-4b0c-b0d3-059fab1c85f6/Home_mobileHero7a37.jpg	(from https://www.tql.com/)
15:47:46	25741/25741	---M--	200	added ('OK')	image/jpeg	etag:%224/2/2020%202:25:56%20PM%22	https://www.tql.com/getmedia/26a8eacd-c813-4d79-a055-57e1f13bb2d7/ShipWithUs-Home.jpg.aspx?width=485&height=388&ext=.jpg	D:/work/tql/www.tql.com/getmedia/26a8eacd-c813-4d79-a055-57e1f13bb2d7/ShipWithUs-Homee1ad.jpeg	(from https://www.tql.com/)
15:47:47	17082/17082	---M--	200	added ('OK')	image/jpeg	etag:%224/2/2020%201:59:37%20PM%22	https://www.tql.com/getmedia/bfc70e2e-ecee-4d2e-8e82-3da61a86c60c/HaulWithUs-Home.jpg.aspx?width=485&height=388&ext=.jpg	D:/work/tql/www.tql.com/getmedia/bfc70e2e-ecee-4d2e-8e82-3da61a86c60c/HaulWithUs-Homee1ad.jpeg	(from https://www.tql.com/)
15:47:48	39055/39055	---M--	200	added ('OK')	image/jpeg	etag:%224/2/2020%202:29:15%20PM%22	https://www.tql.com/getmedia/fdf72e82-4682-477d-9a98-83009eb4b1ed/WorkWithUs-Home.jpg.aspx?width=485&height=388&ext=.jpg	D:/work/tql/www.tql.com/getmedia/fdf72e82-4682-477d-9a98-83009eb4b1ed/WorkWithUS-Homee1ad.jpeg	(from https://www.tql.com/)
15:47:49	41972/41972	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:46%20GMT	https://www.tql.com/about-us/lifeattql-blog/february-2020/tql-named-2020-fortune-100-best-companies-to-work	D:/work/tql/www.tql.com/about-us/lifeattql-blog/february-2020/tql-named-2020-fortune-100-best-companies-to-work.html	(from https://www.tql.com/)
